emotion,alphaHigh,alphaLow,betaHigh,betaLow,delta,gammaHigh,gammaLow,theta
1,8420.4,4536.4,2161,2892.1,19690.6,587.4,1035.1,11670.2
1,8946.4,3744.2,2032.6,2778.4,19697.3,544.1,1149,11528.3
1,11558.5,3909.5,2488.1,2946.9,73141.9,800.6,1280.6,13438.3
1,11762.7,3578.6,2497.3,2840.4,67375.1,846.7,1363.5,14680.3
1,11955.2,3576.2,2417.4,2957.2,67300.4,863.9,1398,13936.1
1,12092.2,4078.9,2497.3,3015,67214.8,830.1,1370.7,14238.1
1,12339,4426.2,2324.2,3419.5,67880.6,850.8,1402.1,14795.4
1,11712.1,4492.5,2095.7,3336.6,61506.7,748.2,1288.2,11679.3
1,11298.2,4649.5,2143.2,3218.2,61323,771.1,1321.5,12234.6
1,12192.9,5509.1,2189,3393.5,77425.2,769.2,1326.4,14271.9
1,11837.7,5543.6,2253.5,3429.8,77459.8,787.1,1327.3,13915.8
1,10756.8,6460.4,2200.4,3648.9,81658.1,839.9,1211.4,14951.9
1,9115.4,5747.5,1818.9,3315.9,28184.5,583.7,1110.5,12865.2
1,9014.4,5959.5,1844.3,3335.5,27627.4,552.3,1042.8,12425.6
1,15231.4,11003.1,2347.5,5798.7,66076.3,728.1,1263,27967.5
